movement,phase,aspect_id,aspect_name,features_dir,csv_file,feature_column,source,rationale
2a_1,f1,1,Fötterna rakt framför höftlederna,features,utgångsposition.csv,utg_mean_left_knee_angle,SAT,SAT knee angle ~90° is the closest proxy for feet positioned directly in front of hips
2a_1,f1,1,Fötterna rakt framför höftlederna,features,utgångsposition.csv,utg_mean_right_knee_angle,SAT,SAT knee angle ~90° is the closest proxy for feet positioned directly in front of hips
2a_1,f1,2,Knä flex >90gr,features,utgångsposition.csv,utg_mean_left_knee_angle,SAT,SAT left knee flexion angle directly quantifies whether the knee exceeds the required 90° starting position
2a_1,f1,2,Knä flex >90gr,features,utgångsposition.csv,utg_mean_right_knee_angle,SAT,SAT right knee flexion angle directly quantifies whether the knee exceeds the required 90° starting position
2a_1,f1,3,Knäskålarna riktade rakt fram,features,utgångsposition.csv,utg_delta_knee_angle,SAT,SAT left-right knee angle difference indicates whether kneecaps are symmetrically directed forward
2a_1,f1,3,Knäskålarna riktade rakt fram,features,molab_utgångsposition.csv,utg_delta_knee_asymmetry,MoLab,MoLab left-right knee angle difference directly quantifies kneecap alignment asymmetry
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),features,utgångsposition.csv,utg_mean_trunk_angle,SAT,SAT trunk sagittal angle captures pelvic orientation in the starting posture
2a_1,f1,4,Bäcken i neutralposition (lätt framåttippat),features,molab_utgångsposition.csv,utg_mean_pelvis_tilt,MoLab,MoLab pelvis tilt is added because it measures slight anterior pelvic tilt more directly than SAT
2a_1,f1,6,Ländrygg i neutral ländlordos,features,utgångsposition.csv,utg_mean_trunk_angle,SAT,SAT trunk sagittal angle reflects lumbar curvature. deviation from neutral indicates non-neutral lordosis
2a_1,f1,6,Ländrygg i neutral ländlordos,features,molab_utgångsposition.csv,utg_mean_pelvis_tilt,MoLab,MoLab pelvis tilt confirms lumbar lordosis through the degree of anterior pelvic tilt
2a_1,f1,7,Bröstrygg i neutral thorakalkyfos,features,utgångsposition.csv,utg_mean_trunk_angle,SAT,SAT trunk angle captures overall sagittal spinal curvature including thoracic kyphosis
2a_1,f1,7,Bröstrygg i neutral thorakalkyfos,features,utgångsposition.csv,utg_mean_head_trunk_angle,SAT,SAT head-trunk angle reflects the combined cervico-thoracic alignment relative to the trunk axis
2a_1,f1,8,Hela bålen strax framför sittbensknölarna,features,utgångsposition.csv,utg_delta_hip_height,SAT,SAT vertical hip displacement captures how far the trunk is positioned forward over the ischial tuberosities
2a_1,f1,9,Överarmar neutralt längs med bålen utan rotation,features,förberedelsefas.csv,forb_rms_wrist_acceleration,SAT,SAT wrist acceleration during preparation is low when arms hang passively neutral along the body without rotation
2a_1,f1,10,Huvudet positionerat över bålen,features,utgångsposition.csv,utg_mean_head_trunk_angle,SAT,SAT head-trunk angle measures whether the head is centred over the trunk longitudinal axis
2a_1,f1,11,Nacke i neutral cervikallordos,features,utgångsposition.csv,utg_mean_head_trunk_angle,SAT,SAT head-trunk angle serves as a proxy for cervical lordosis via head position relative to trunk
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),features,förberedelsefas.csv,forb_rms_trunk_acceleration,SAT,SAT RMS trunk acceleration in the preparation phase is used as the main proxy for movement smoothness
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),features,uppresningsfas.csv,uppr_rms_trunk_acceleration,SAT,SAT RMS trunk acceleration in the rise phase complements smoothness during the upward movement
2a_1,f3,1,Rörelsen utförs med jämt flöde (fluid och smooth),features,molab_förberedelsefas.csv,forb_rms_pelvis_acc,MoLab,MoLab RMS pelvis acceleration during preparation provides a 3D measure of movement smoothness
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),features,förberedelsefas.csv,forb_trunk_hip_correlation,SAT,SAT hip-trunk trajectory correlation measures whether pelvis and trunk move forward together as a unit
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),features,förberedelsefas.csv,forb_delta_trunk_flexion,SAT,SAT trunk forward displacement confirms trunk continues moving with the pelvis during preparation
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),features,molab_förberedelsefas.csv,forb_delta_pelvis_tilt,MoLab,MoLab pelvic tilt change confirms pelvis continues moving forward together with the trunk
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),features,molab_förberedelsefas.csv,forb_peak_pelvis_gyro,MoLab,MoLab peak pelvis angular velocity captures the rotational intensity of pelvic forward movement
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,features,förberedelsefas.csv,forb_mean_head_trunk_angle,SAT,SAT head-trunk angle measures whether the head stays aligned with the trunk longitudinal axis during movement
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,features,förberedelsefas.csv,forb_rms_wrist_acceleration,SAT,SAT wrist acceleration reflects arm activity. low values indicate arms follow passively without active propulsion
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,features,förberedelsefas.csv,forb_delta_trunk_flexion,SAT,SAT trunk flexion range quantifies whether sufficient forward reach is achieved before seat-off
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,features,förberedelsefas.csv,forb_max_trunk_angular_velocity,SAT,SAT peak trunk angular velocity captures whether trunk moves with adequate momentum forward
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),features,uppresningsfas.csv,uppr_total_knee_extension,SAT,SAT knee extension range captures the forward-upward tibial movement required for full knee straightening
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),features,uppresningsfas.csv,uppr_peak_knee_extension_velocity,SAT,SAT peak knee extension velocity quantifies the speed of tibial forward displacement during rise
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),features,molab_uppresningsfas.csv,uppr_peak_shank_gyro,MoLab,MoLab shank angular velocity directly measures tibial forward angular movement speed
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,features,uppresningsfas.csv,uppr_total_knee_extension,SAT,SAT knee extension range confirms full knee straightening toward neutral standing position
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,features,uppresningsfas.csv,uppr_total_hip_extension,SAT,SAT hip extension range confirms full hip straightening toward neutral standing position
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,features,uppresningsfas.csv,uppr_trunk_reextension_angle,SAT,SAT trunk re-extension angle directly quantifies how close the trunk returns to the upright neutral standing position
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,features,förberedelsefas.csv,forb_mean_head_trunk_angle,SAT,SAT head-trunk angle is the best available proxy for whether neck and shoulders follow the trunk movement
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,features,förberedelsefas.csv,forb_rms_wrist_acceleration,SAT,SAT wrist acceleration captures whether arms follow the movement passively throughout the rise
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",features_down,down_utgångsposition.csv,utg_stance_to_hip_ratio,SAT,SAT stance width normalised to hip width measures whether feet are placed parallel and symmetrically
2a_2,f1,2,Står med fötterna rakt under höftlederna,features_down,down_utgångsposition.csv,utg_stance_width,SAT,SAT absolute stance width measures foot placement distance relative to hip width
