phase,aspect,candidate_features,data_source,rationale
f1,"Står med fötterna parallellt, riktade rakt fram",stance_to_hip_ratio,SAT,SAT stance width normalised to hip width measures whether feet are placed parallel and symmetrically
f1,Står med fötterna rakt under höftlederna,stance_width/ stance_to_hip_ratio,SAT,SAT absolute stance width measures foot placement distance relative to hip width/ SAT hip-normalised stance ratio confirms feet are positioned directly under the hip joints
f1,Knäskålarna riktade mot mellersta tån,knee_asym/ delta_knee_angle,SAT,SAT knee asymmetry measures left-right knee alignment. neutral alignment points kneecaps toward middle toes/ SAT left-right knee angle difference captures bilateral kneecap direction asymmetry
f1,Knäna neutralt semiflekterade,mean_left_knee_angle/ mean_right_knee_angle/ mean_knee_forward,SAT,SAT left knee flexion angle confirms the required semi-flexed starting position/ SAT right knee flexion angle confirms the required semi-flexed starting position/ SAT mean knee forward position captures the anterior tibial inclination in the semi-flexed stance
f1,Bäckenet neutralt framåttippat i sagittalplan,mean_trunk_angle/ mean_pelvis_tilt,SAT/ MoLab,SAT trunk sagittal angle captures pelvis orientation in the starting posture/ MoLab pelvis tilt is added because it measures slight anterior pelvic tilt more directly than SAT
f1,Thorakalrygg i neutral kyfos i sagittalplan,mean_trunk_angle/ mean_head_trunk_angle,SAT,SAT overall trunk sagittal angle captures thoracic spinal curvature in the sagittal plane/ SAT head-trunk angle reflects the upper thoracic and cervical contribution to kyphosis
f1,Huvudet symmetrisk position rakt ovanför bålen,mean_head_trunk_angle,SAT,SAT head-trunk angle measures whether the head is symmetrically positioned directly above the trunk
f1,Cervikalrygg i neutral lordos i sagittalplan,mean_head_trunk_angle,SAT,SAT head-trunk angle serves as an indirect measure of cervical lordosis via head position relative to trunk
f1,Axlarna symmetriska och i samma nivå,shoulder_asym,SAT,SAT shoulder asymmetry directly quantifies whether shoulders are level and symmetric
f1,Överarmarna längs med bålen,fas2_rms_wrist_acceleration,SAT,SAT wrist acceleration during descent is low when upper arms remain neutral along the body without active rotation
f1,Bålen placerad rakt över bäckenet i sagittalplan,mean_trunk_angle/ mean_pelvis_tilt,SAT/ MoLab,SAT trunk sagittal angle confirms trunk is positioned upright and aligned over pelvis/ MoLab pelvis tilt confirms neutral pelvis position under the trunk in sagittal plane
f3,Bålen fortsätter fällas framåt och höftböjningen fortskrider,fas1_ROM_trunk/ fas1_ROM_hip,SAT,SAT trunk ROM confirms the total forward lean range during the continued descent/ SAT hip flexion ROM directly quantifies continued hip bending during the descent
f3,Knäna fortsätter böjas och rör sig framåt initialt.,fas1_ROM_knee/ fas1_mean_knee_forward,SAT,SAT knee flexion ROM measures how much the knees continue to bend and advance forward/ SAT mean knee forward position quantifies the horizontal knee displacement over the toes
f3,Knäna bibehålls riktade mot mellersta tån,fas1_knee_asym/ fas1_knee_angle_diff/ fas1_pelvis_lateral,SAT/ MoLab,SAT knee asymmetry measures whether both knees maintain symmetric forward direction in fas 1/ MoLab left-right knee angle difference directly quantifies kneecap alignment toward the middle toe/ MoLab lateral pelvis tilt in fas 1 reflects lower-limb frontal-plane alignment
f3,Kontrollerad sänkning av kroppen,fas1_peak_pelvis_velocity_y/ fas1_rms_pelvis_acc_y,SAT,SAT peak vertical pelvis velocity captures the maximum downward speed. high values indicate uncontrolled drop/ SAT RMS vertical pelvis acceleration quantifies smoothness of descent. high values indicate jerkiness
f3,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt,fas2_pelvis_backward_displacement/ fas2_pelvis_descent/ fas2_rms_pelvis_acc,SAT/ MoLab,SAT posterior pelvis displacement quantifies the controlled backward-downward pelvis trajectory/ SAT vertical pelvis descent confirms controlled lowering toward the seat/ MoLab pelvis acceleration is added as a compact 3D control measure for the final backward-downward transfer
f3,Knäna bibehålls riktade mot mellersta tån,fas2_knee_asym,SAT,SAT knee asymmetry measures whether knees remain directed toward the middle toe during final descent
f3,Händer/armar följer med i rörelsen utan aktivt mothåll mot armstöd/sits,fas2_rms_wrist_acceleration,SAT,SAT wrist acceleration measures whether hands and arms follow passively without active midline crossing
